,name,restaurant,city,price,rating,deliveryTime
0,Pizza Hut,pizza-hut-kalyani-bungalow-koregaon-park,pune,350,100+ ratings,39
1,McDonald's,mc-donalds-koregaon-park-koregaon-park,pune,400,1000+ ratings,36
2,Uncle's Chinese,uncles-chinese-koregaon-park,pune,350,500+ ratings,35
3,Theobroma,theobroma-koregaon-park-koregaon-park,pune,800,100+ ratings,28
4,Rolls Mania,rolls-mania-camp-camp,pune,200,500+ ratings,30
5,Subway,subway-koregaon-park,pune,350,100+ ratings,33
6,Good Fettle - Healthy Ice Creams,good-fettle---healthy-ice-cream-bandra-west-bandra-west,pune,300,20+ ratings,43
7,The Doner Company,the-doner-company-koregaon-park-koregaon-park,pune,350,100+ ratings,32
8,Natural Ice Cream,natural-ice-cream-near-gulmohar-gardens-koregaon-park,pune,150,100+ ratings,28
9,THE CHICKSTER- Fried Chicken ,the-chickster-koregaon-park-koregaon-park,pune,450,100+ ratings,35
10,Cafe Durga,cafe-durga-kalyani-nagar-kalyani-nagar,pune,200,50+ ratings,31
11,Toscano,toscano-koregaon-park-koregaon-park,pune,1200,100+ ratings,37
12,The Belgian Waffle Co.,the-belgian-waffle-co-koregaon-park-kalyani-nagar,pune,200,100+ ratings,36
13,The Mousse Coupe,foodiedoo-kalyani-nagar-kalyani-nagar,pune,250,Too Few Ratings,32
14,Malaka Spice,malaka-spice-koregaon-park-koregaon-park,pune,1300,100+ ratings,35
15,Huber & Holly,huber-holy-koregaon-park-koregaon-park,pune,500,100+ ratings,28
16,Trattoria by Toscano,trattoria-by-toscano-south-main-road-sanas-corner-koregaon-park,pune,1200,100+ ratings,35
17,GATTI CHUTNEY,gatti-chutney-kalyani-nagar-kalyani-nagar,pune,200,100+ ratings,33
18,Pavlovs,pavlovs-koregaon-park-koregaon-park,pune,400,20+ ratings,40
19,PUNJAB JUNCTION,punjab-junction-kalyani-nagar-kalyani-nagar,pune,400,Too Few Ratings,33
20,Kushta by Semporo,kushta-by-semporo-kalyani-nagar-kalyani-nagar,pune,800,50+ ratings,36
21,Arthur's Theme,arthurs-theme-koregaon-park,pune,800,50+ ratings,35
22,The Burger Barn Cafe,the-burger-barn-cafe-koregaon-park,pune,300,100+ ratings,36
23,The Oxton Food Company,the-oxton-food-co.---by-semporo-kalyani-nagar-kalyani-nagar,pune,700,20+ ratings,33
24,Burger 69 & More,burger-69-more-koregaon-park-kalyani-nagar,pune,300,Too Few Ratings,37
25,Nandu's Paratha & TND Fastfood,nandus-paratha-dp-road-koregaon-park,pune,200,500+ ratings,37
26,1441 Pizzeria,1441-pizzeria-koregaon-park-koregaon-park,pune,400,100+ ratings,37
27,Bebe Di Rasoi - Punjabi,bebe-di-rasoi-kalyani-nagar-kalyani-nagar,pune,300,1000+ ratings,39
28,Toscano's Crafted Cakes and Desserts,toscanos-crafted-cakes-and-desserts-koregaon-park-koregaon-park,pune,1200,Too Few Ratings,35
29,The Daily All Day Pune,the-daily-all-day-koregaon-park-koregaon-park,pune,1000,100+ ratings,34
30,Sassy Teaspoon,sassy-teaspoon-koregaon-park-kalyani-nagar,pune,800,100+ ratings,31
31,Momo's Corrner ,momo's-corrner-kalyani-nagar-kalyani-nagar,pune,300,Too Few Ratings,31
32,NOTO Healthy Ice Cream,noto-healthy-ice-cream-kalyani-nagar-kalyani-nagar,pune,250,Too Few Ratings,35
33,Tangasseri by Semporo,tangasseri-by-semporo-kalyani-nagar-kalyani-nagar,pune,1500,20+ ratings,37
34,Foodiedoo,foodiedoo-kalyani-nagar-kalyani-nagar-2,pune,500,Too Few Ratings,33
35,Swirlyo,swirlyo-kalyani-nagar-kalyani-nagar,pune,150,Too Few Ratings,31
36,Super smash burgers,super-smash-burgers-kalyani-nagar-kalyani-nagar,pune,400,Too Few Ratings,39
37,Miss Gelato,miss-gelato-kharadi-kharadi,pune,200,20+ ratings,31
38,Talli Bar & Kitchen,talli-kalyani-nagar-kalyani-nagar,pune,800,Too Few Ratings,33
39,Publiq,publiq-kalyani-nagar-kalyani-nagar,pune,1700,Too Few Ratings,33
40,Mocha,mocha-koregaon-park-kalyani-nagar,pune,800,50+ ratings,37
41,Little Italy,little-italy-bund-garden-road-koregaon-park,pune,1200,100+ ratings,40
42,Good News Dhaba,good-news-dhaba-kalyani-nagar,pune,700,20+ ratings,39
43,Piazza pizza by Little Italy,piazza-bund-garden-road-koregaon-park,pune,500,100+ ratings,41
44,BOX8 - Desi Meals,box8-desi-meals-camp-koregaon-park,pune,250,100+ ratings,37
45,Senoritas Mexican kitchen by Little Italy,senorita-mexican-kitchen-bund-garden-road-koregaon-park,pune,500,20+ ratings,39
46,Reddy's Fast Food,reddys-fast-food-yerawada-koregaon-park,pune,400,100+ ratings,45
47,McDonald's Gourmet Burger Collection,mcdonalds-gourmet-burger-collection-wadgaon-sheri-kalyani-nagar-kalyani-nagar,pune,600,20+ ratings,34
48,Hotel Al Zaika,hotel-al-zaika-viman-nagar-viman-nagar,pune,300,500+ ratings,37
49,Cakeman,cakeman-kalyani-nagar-koregaon-park,pune,300,100+ ratings,37
50,Mealful Rolls - Meals in a Roll,mealful-wraps-camp-koregaon-park,pune,250,Too Few Ratings,38
51,Itminaan Biryani - Dum Pukht,itminaan-dum-pukht-biryani-camp-koregaon-park,pune,250,20+ ratings,42
52,NIC Natural Ice Creams,nic-natural-ice-creams-madinaguda-main-road-aundh,pune,120,100+ ratings,32
53,ZAZA 22 Spice Biryani,zaza-21-spice-biryani-camp-koregaon-park,pune,250,Too Few Ratings,35
54,Shahi Pakwan,shahi-pakwan-viman-nagar,pune,300,100+ ratings,40
55,Irani Cafe,the-irani-cafe-kalyani-nagar-kalyani-nagar,pune,250,1000+ ratings,36
56,Burger King,burger-king-viman-nagar,pune,350,1000+ ratings,57
57,Philly Fried Chicken,philly-diner-kharadi-kharadi,pune,500,100+ ratings,41
58,Zaika restaurant,zaika-restaurant-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,41
59,Hotel New Zaika,hotel-new-zaika-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,40
60,Green Salad Company,green-salad-company-kharadi-kharadi,pune,400,100+ ratings,37
61,Tawakkal,tawakkal-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,40
62,Grameen Kulfi,grameen-kulfi-dhole-patil-road-koregaon-park,pune,120,20+ ratings,32
63,The Bohemian Kitchen,the-bohemian-kitchen-viman-nagar-viman-nagar,pune,300,50+ ratings,38
64,Shah restaurant,shah-restaurant-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,44
65,Kohinoor,kohinoor-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,48
66,Mannat,mannat-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,40
67,Sim Sim,sim-sim-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,36
68,Shamiyana,shamiyana-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,45
69,Try Luck,try-luck-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,38
70,A1 Restaurant,a1-restaurant-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,44
71,Steakhouse,steakhouse-viman-nagar-kharadi,pune,300,100+ ratings,40
72,Aaina,aaina-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,39
73,Foods point,foods-point-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,39
74,Al Barkat,al-barkat-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,48
75,KNIGHT RIDERS,knight-riders-magarpatta-magarpatta,pune,300,Too Few Ratings,40
76,Nawabi Tadka,nawabi-tadka-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,42
77,Happy Singh,happy-singh-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,42
78,Rewar park,rewar-park-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,39
79,Mughal Tadka,mughal-tadka-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,45
80,Mughal Tadka,mughal-tadka-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,45
81,Shahi Dawat,hotel-shalimar-viman-nagar,pune,300,50+ ratings,40
82,Hotel Malabar,hotel-malabar-viman-nagar-viman-nagar,pune,400,100+ ratings,36
83,Eatsome,eatsome-viman-nagar,pune,200,500+ ratings,41
84,Blue Shack,blue-shack-mundhwa-magarpatta,pune,1000,Too Few Ratings,43
85,Hotel Al Madina,hotel-al-madina-viman-nagar,pune,300,50+ ratings,40
86,Food Signal,hotel-shivar-viman-nagar,pune,300,100+ ratings,39
87,Rasoi Punjab,fish-land-viman-nagar-viman-nagar,pune,300,Too Few Ratings,38
88,GetAWhey - Healthy Ice creams.,get-a-whey-healthy-ice-cream-kalyani-nagar-kalyani-nagar,pune,300,20+ ratings,37
89,Kwality Family Resto Bar(RAJA BHADHUR MILLS),kwality-family-resto-bar-koregaon-park-koregaon-park,pune,800,20+ ratings,43
90,Tandoor Point,hotel-lizzat-viman-nagar-viman-nagar,pune,300,100+ ratings,39
91,Vadilal Ice Cream,vadilal-ice-cream-viman-nagar-viman-nagar-4,pune,200,Too Few Ratings,47
92,SLICE PIZZA BY GREEDYMAN PIZZERIA,slice-pizza-by-greedyman-pizzeria-baner-baner-2,pune,500,Too Few Ratings,50
93,LA CHERIE CHEESECAKE,la-cherie-cheesecake-kalyani-nagar-kalyani-nagar,pune,499,20+ ratings,38
94,Punjabi Non Veg,punjabi-non-veg-viman-nagar,pune,300,20+ ratings,41
95,CakeZone,cakezone-mundhwa-kalyani-nagar,pune,200,500+ ratings,45
96,Tandoor Point,hotel-lizzat-viman-nagar-viman-nagar,pune,300,100+ ratings,39
97,Vadilal Ice Cream,vadilal-ice-cream-viman-nagar-viman-nagar-4,pune,200,Too Few Ratings,47
98,SLICE PIZZA BY GREEDYMAN PIZZERIA,slice-pizza-by-greedyman-pizzeria-baner-baner-2,pune,500,Too Few Ratings,50
99,LA CHERIE CHEESECAKE,la-cherie-cheesecake-kalyani-nagar-kalyani-nagar,pune,499,20+ ratings,38
100,Punjabi Non Veg,punjabi-non-veg-viman-nagar,pune,300,20+ ratings,41
101,Hotel Shivar,hotel-shivar-viman-nagar-viman-nagar,pune,400,Too Few Ratings,42
102,Roll King,roll-king-viman-nagar,pune,200,20+ ratings,40
103,Hotel Spice Route,hotel-spice-route-magarpatta-magarpatta,pune,350,20+ ratings,45
104,pan junction,pan-junction-magarpatta-magarpatta,pune,200,Too Few Ratings,48
105,Anda World,anda-world-kharadi-kharadi,pune,300,Too Few Ratings,41
106,Hotel Chaitanya,hotel-chaitanya-mundhwa-koregaon-park,pune,300,Too Few Ratings,45
107,Masala Mafia,masala-mafia-kharadi-kharadi,pune,150,20+ ratings,43
108,Her Paratha Factory,her-paratha-factory-camp-camp,pune,200,Too Few Ratings,44
109,Masala Kitchen,masala-kitchen-kharadi-pune-vam,pune,300,20+ ratings,40
110,Biryani Blast,biryani-blast-kharadi-kharadi,pune,350,Too Few Ratings,44
111,Classic Pav Bhaji,classic-pav-bhaji-camp-camp,pune,200,Too Few Ratings,44
112,Chaats and Wraps,chaats-and-wraps-viman-nagar-viman-nagar,pune,200,500+ ratings,40
113,Faasos' Signature Wraps & Rolls,signature-wraps-rolls-by-faasos-next-to-bank-of-maharashtra-viman-nagar,pune,350,Too Few Ratings,42
114,Baskin Robbins Happyness Shakes,baskin-robbins-happyness-shakes-kalyani-nagar-viman-nagar,pune,200,Too Few Ratings,41
115,MAGNUS HOTELS AND RESTAURANT,magnus-hotels-and-restaurant-viman-nagar-viman-nagar,pune,400,Too Few Ratings,50
116,E Hide Cafe,e-hide-cafe-viman-nagar-viman-nagar-2,pune,350,Too Few Ratings,43
117,Helium Club and Kitchen,helium-club-and-kitchen-viman-nagar-viman-nagar,pune,1200,Too Few Ratings,42
118,Gargi express,gargi-express-viman-nagar-viman-nagar,pune,450,100+ ratings,45
119,Signature Fine Dining,signature-fine-dining-viman-nagar-viman-nagar,pune,600,500+ ratings,43
120,7th Heaven Cake Shop,7th-heaven-cake-shop-viman-nagar-viman-nagar,pune,200,100+ ratings,40
121,Slice of Soul (S.O.S.),slice-of-soul-sos-kalyani-nagar-koregaon-park,pune,299,500+ ratings,42
122,Sweet Truth - Cake and Desserts,sweet-truth-next-to-bank-of-maharashtra-viman-nagar,pune,450,50+ ratings,37
123,9834 The Fruit Truck,9834-the-fruit-truck-viman-nagar-viman-nagar,pune,200,100+ ratings,40
124,Lazeez by Hyderabadi Delicacies,lazeez-viman-nagar,pune,450,100+ ratings,44
125,The Greedyman Pizzeria,the-greedy-man-pizzeria-viman-nagar-viman-nagar,pune,500,100+ ratings,46
126,Behrouz Biryani,behrouz-biryani-g-floor-konark-industrial-estate-next-to-rosary-school-sakore-nagar-viman-nagar,pune,500,500+ ratings,44
127,POONA PAN SHOP,poona-pan-shop-vishrantwadi-vishrantwadi,pune,80,Too Few Ratings,38
128,Veg Daawat by Behrouz,veg-daawat-by-behrouz-keshav-nagar-magarpatta,pune,500,Too Few Ratings,46
129,The Brooklyn Creamery - Healthy Ice Cream,the-brooklyn-creamery-low-cal-ice-cream-keshav-nagar-magarpatta,pune,200,20+ ratings,42
130,Chai Point,chai-point-magarpatta-tower-4-magarpatta,pune,150,500+ ratings,48
131,Apsara Ice Creams,apsara-ice-creams-gandharva-galaxia-hadapsar,pune,150,100+ ratings,44
132,Chinese Town,chinese-town-magarpatta-magarpatta,pune,200,Too Few Ratings,46
133,KHICHDI ETC,khichdi-etc-kharadi-kharadi,pune,400,1000+ ratings,41
134,Apna Punjab,apna-punjab-magarpatta-magarpatta,pune,400,1000+ ratings,49
135,Flamiingo Lounge,flamiingo-lounge-magarpatta-magarpatta,pune,700,Too Few Ratings,46
136,R J Bakers,r-j-bakers-magarpatta-magarpatta,pune,150,Too Few Ratings,48
137,Tiffin Peddler,tiffin-peddler-magarpatta-magarpatta,pune,250,Too Few Ratings,50
138,Kava Kitchen - Fairfield by Marriott,kava-kitchen-time-office-kharadi,pune,500,Too Few Ratings,50
139,Authentic Royal,authentic-royal-hadapsar-magarpatta,pune,450,Too Few Ratings,54
140,Taco Bell,taco-bell-seasons-mall-hadapsar,pune,300,500+ ratings,54
141,Multi Cuisine,multi-cuisine-magarpatta-magarpatta,pune,400,Too Few Ratings,46
142,The Paratha House,the-paratha-house-magarpatta,pune,100,500+ ratings,47
143,Indian Spice,indian-spice-magarpatta-magarpatta,pune,500,Too Few Ratings,46
144,Crazy Cheesy (Viman Nagar),crazy-cheesy-(viman-nagar)-viman-nagar-viman-nagar,pune,400,100+ ratings,43
145,HAND PICKED THALI & COMBOS,hand-pick-thali-&-combo’s-viman-nagar-viman-nagar,pune,450,20+ ratings,42
146,Kachori Chowk,kachori-chowk-viman-nagar-viman-nagar,pune,400,Too Few Ratings,42
147,Domio's Pizza - A-1 Pizza Shop,domio's-pizza---a-1-pizza-shop-viman-nagar-viman-nagar,pune,250,50+ ratings,45
148,The Momo Box,the-momo-box-viman-nagar-viman-nagar,pune,150,100+ ratings,39
149,Big City Waffle,chinese-bowl-company-pimple-saudagar-pimple-saudagar,pune,250,20+ ratings,52
150,SPIRITS BAR AND RESTAURANT,spirits-bar-and-restaurant-viman-nagar-viman-nagar,pune,250,Too Few Ratings,41
